2.500000000000000000e-01 1.119441968998237946e-01
7.500000000000000000e-01 1.442214403392729771e-01
1.250000000000000000e+00 2.141492486693629127e-01
1.750000000000000000e+00 3.044882155675207591e-01
2.250000000000000000e+00 4.548043955157841101e-01
2.750000000000000000e+00 6.308564332563706412e-01
3.250000000000000000e+00 8.194745767670561509e-01
3.750000000000000000e+00 9.814894036853549775e-01
4.250000000000000000e+00 1.051682805110050190e+00
4.750000000000000000e+00 9.779503959166975235e-01
5.250000000000000000e+00 8.473376103910235102e-01
5.750000000000000000e+00 8.190178144920803316e-01
6.250000000000000000e+00 9.021806716550597738e-01
6.750000000000000000e+00 1.037930009329699477e+00
7.250000000000000000e+00 1.154067467142769532e+00
7.750000000000000000e+00 1.201161232735109330e+00
8.250000000000000000e+00 1.184369603200135401e+00
8.750000000000000000e+00 1.115843762669315176e+00
9.250000000000000000e+00 1.045952116492921302e+00
9.750000000000000000e+00 9.867163365713700340e-01
1.025000000000000000e+01 9.586518774023691236e-01
1.075000000000000000e+01 9.609237794812549582e-01
1.125000000000000000e+01 9.780564483137603737e-01
1.175000000000000000e+01 1.022991325307634369e+00
1.225000000000000000e+01 1.049431154426909263e+00
1.275000000000000000e+01 1.046392893060470453e+00
1.325000000000000000e+01 1.042812997988320722e+00
1.375000000000000000e+01 1.014255130893094492e+00
1.425000000000000000e+01 9.895965202608372202e-01
1.475000000000000000e+01 9.723586784274863559e-01
